Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
pt POR,Alberto costa,DF,Juventus,357,4.0,0,1,0.6,0.2,8,8,25,7,0,83.0,2,1,14,10,4,18,14,276,4,36.4,148,170,8
es ESP,Coba da Costa,"MF,FW",Getafe,1006,11.2,1,1,1.1,1.4,46,16,83,23,8,64.4,9,10,29,13,8,37,10,504,19,33.9,261,294,10
de GER,Danny da Costa,DF,Mainz 05,2006,22.3,0,1,0.1,0.6,21,109,22,5,1,78.4,10,17,42,23,27,69,95,1451,8,47.1,813,886,19
pt POR,David Costa,"MF,FW",Lens,352,3.9,0,0,1.2,0.4,14,24,20,9,2,82.6,6,8,2,0,1,3,0,200,2,22.2,118,158,3
cv CPV,Logan Costa,DF,Villarreal,2587,28.7,2,1,0.7,0.6,25,116,10,12,5,87.7,4,6,38,21,21,59,115,1785,0,0.0,1037,1209,19
cv CPV,Logan Costa,DF,Toulouse,90,1.0,0,0,0.0,0.5,1,4,1,0,0,83.9,1,1,2,1,2,4,4,69,0,,37,42,0
pt POR,Samu Costa,MF,Mallorca,2649,29.4,0,2,1.8,1.2,24,116,69,30,8,80.7,15,14,90,44,32,122,85,1834,13,39.4,1029,1235,62
fr FRA,Grégoire Coudert,GK,Brest,180,2.0,0,0,0.0,0.0,0,0,0,0,0,79.4,0,0,0,0,0,0,1,74,0,,48,42,0
cz CZE,Vladimír Coufal,DF,West Ham,1067,11.9,0,0,0.3,0.7,26,39,33,7,2,78.6,8,13,22,15,8,30,39,736,5,33.3,298,400,22
ml MLI,Lassana Coulibaly,MF,Lecce,2667,29.6,1,0,0.8,0.9,21,93,49,9,3,81.2,12,7,48,29,18,66,46,1229,18,47.4,623,714,39
ci CIV,Lasso Coulibaly,"FW,MF",Auxerre,45,0.5,1,0,0.3,0.1,0,0,4,3,2,92.3,1,0,1,1,0,1,0,21,1,33.3,12,16,0
fr FRA,Mamadou Coulibaly,MF,Monaco,8,0.1,0,0,0.1,0.0,0,0,1,1,0,60.0,0,0,1,0,0,1,0,9,1,50.0,4,6,1
fr FRA,Soumaïla Coulibaly,DF,Brest,438,4.9,0,0,0.2,0.1,1,16,0,4,0,88.6,1,1,4,2,5,9,26,370,0,0.0,226,247,12
fr FRA,Tanguy Coulibaly,"FW,MF",Montpellier,1485,16.5,3,0,3.5,1.3,48,20,97,30,13,78.5,18,5,32,24,11,43,3,583,29,53.7,328,370,45
ml MLI,Woyo Coulibaly,DF,Leicester City,109,1.2,0,0,0.0,0.0,4,3,2,2,1,84.2,0,0,6,4,5,11,1,76,0,0.0,48,36,2
ml MLI,Woyo Coulibaly,DF,Parma,1084,12.0,0,1,0.1,0.9,36,41,23,3,0,86.7,8,4,13,10,8,21,25,706,8,47.1,404,439,12
fr FRA,Marius Courcoul,"MF,DF",Angers,309,3.4,0,0,0.1,0.0,5,7,7,3,1,85.8,1,1,5,2,5,10,9,191,1,20.0,90,116,4
be BEL,Thibaut Courtois,GK,Real Madrid,2700,30.0,0,0,0.0,0.1,0,0,0,0,0,83.1,1,0,0,0,1,1,15,1088,0,0.0,659,650,0
br BRA,Yan Couto,"DF,FW",Dortmund,895,9.9,0,0,0.3,0.9,46,68,83,6,2,81.1,12,26,24,16,10,34,32,849,13,39.4,483,547,12
fr FRA,Nicolas Cozza,"DF,MF",Nantes,2051,22.8,1,0,1.4,1.4,25,64,56,17,6,77.7,7,10,59,41,25,84,69,1044,5,25.0,400,463,14
eng ENG,Aaron Cresswell,DF,West Ham,824,9.2,0,0,0.2,1.3,6,36,4,5,0,82.6,9,5,11,7,8,19,37,687,1,50.0,291,437,4
eng ENG,Charlie Cresswell,DF,Toulouse,2592,28.8,3,1,3.3,1.7,8,69,13,32,13,83.0,5,4,35,23,28,63,191,1920,3,27.3,1033,1193,28
it ITA,Bryan Cristante,MF,Roma,2045,22.7,4,2,2.1,1.4,25,145,41,30,7,82.3,18,17,48,29,19,67,36,1497,6,42.9,833,1057,37
si SVN,Domen Črnigoj,MF,Venezia,136,1.5,0,0,0.1,0.0,4,4,6,1,0,51.0,0,1,4,2,4,8,4,76,0,0.0,36,47,2
es ESP,Juan Cruz Armada,DF,Osasuna,1492,16.6,0,0,0.1,0.0,9,53,12,4,0,78.0,2,2,26,14,9,35,68,819,1,25.0,337,391,16
es ESP,Juan Cruz,"FW,MF",Leganés,2257,25.1,5,4,2.7,4.1,59,66,131,33,14,68.2,24,32,32,19,13,45,31,951,40,51.3,543,570,14
co COL,Juan Cuadrado,"DF,MF",Atalanta,832,9.2,0,2,0.9,2.0,41,64,90,16,4,79.2,19,24,19,9,7,26,9,722,17,42.5,462,509,9
es ESP,Pau Cubarsí,DF,Barcelona,2618,29.1,0,3,0.8,1.6,26,191,6,8,0,93.5,9,4,34,23,16,50,86,2805,6,75.0,1823,2193,24
co COL,Cucho,FW,Betis,1139,12.7,5,1,3.8,1.5,27,34,82,43,11,71.9,14,10,15,10,7,22,4,467,17,65.4,250,318,10
es ESP,Marc Cucurella,DF,Chelsea,2988,33.2,5,1,2.8,2.1,35,118,117,24,11,87.7,19,12,67,45,28,95,95,2244,4,26.7,944,1385,37
es ESP,Jorge Cuenca,DF,Fulham,351,3.9,0,0,0.0,0.0,0,10,0,1,0,83.8,0,0,6,2,2,8,26,214,2,100.0,89,133,2
br BRA,Matheus Cunha,"MF,FW",Wolves,2597,28.9,15,6,8.6,7.7,112,144,161,110,44,71.6,56,58,38,22,17,55,23,1561,61,44.5,904,1056,42
it ITA,Patrick Cutrone,FW,Como,2047,22.7,7,4,7.1,2.1,53,31,155,69,26,70.3,19,10,16,11,5,21,7,692,9,37.5,445,508,23
cz CZE,Tomáš Čvančara,FW,Gladbach,831,9.2,2,0,3.8,0.9,15,23,50,24,9,71.5,6,8,4,1,5,9,17,336,6,35.3,185,235,11
fr FRA,Wylan Cyprien,MF,Parma,28,0.3,0,0,0.2,0.0,1,2,0,1,0,66.7,0,0,0,0,1,1,0,28,0,,11,15,0
it ITA,Danilo D'Ambrosio,DF,Monza,1095,12.2,0,1,0.5,0.4,10,34,16,9,4,86.8,5,6,28,15,15,43,36,776,2,28.6,443,476,18
fr FRA,Lucas Da Cunha,MF,Como,2613,29.0,3,2,2.0,3.8,63,154,85,37,14,84.5,55,29,45,25,17,62,30,1929,12,40.0,1200,1382,21
se SWE,Samuel Dahl,"DF,MF",Roma,43,0.5,0,0,0.0,0.0,1,2,4,0,0,85.7,0,1,2,2,0,2,0,37,0,0.0,21,25,2
de GER,Finn Dahmen,GK,Augsburg,1710,19.0,0,0,0.0,0.0,0,3,0,0,0,69.4,0,0,1,0,0,1,9,811,0,,479,426,0
de GER,Thomas Dähne,GK,Holstein Kiel,810,9.0,0,0,0.0,0.0,0,0,0,0,0,77.0,0,0,0,0,0,0,7,432,0,,234,213,1
de GER,Mahmoud Dahoud,MF,Eint Frankfurt,364,4.0,1,1,0.5,0.7,1,17,6,7,2,84.9,8,5,9,4,2,11,5,263,1,33.3,160,192,10
zm ZAM,Patson Daka,"FW,MF",Leicester City,736,8.2,1,0,1.3,0.1,11,8,36,15,4,72.1,1,1,19,10,1,20,12,252,2,13.3,141,167,15
be BEL,Ameen Al-Dakhil,DF,Stuttgart,432,4.8,0,0,0.1,0.2,1,12,0,1,0,91.7,2,1,6,6,9,15,30,407,0,,239,264,4
nl NED,Thijs Dallinga,FW,Bologna,1154,12.8,3,2,4.3,0.6,9,17,84,31,11,71.7,12,4,10,5,1,11,13,439,2,18.2,243,343,24
pt POR,Diogo Dalot,DF,Manchester Utd,2814,31.3,0,3,2.0,2.0,62,103,168,25,5,80.5,26,25,68,40,37,105,72,1983,27,50.9,1126,1200,40
dk DEN,Mikkel Damsgaard,"MF,FW",Brentford,2911,32.3,2,10,2.8,8.4,73,234,137,35,7,72.4,63,73,83,44,27,110,31,1883,50,51.5,1076,1239,18
it ITA,Maat Daniel Caprini,FW,Fiorentina,7,0.1,0,0,0.0,0.0,0,1,3,0,0,83.3,0,0,0,0,0,0,0,13,0,0.0,5,6,0
at AUT,Flavius Daniliuc,DF,Hellas Verona,1004,11.2,0,0,0.1,0.1,8,38,8,3,1,83.5,2,3,26,21,7,33,27,538,4,57.1,285,306,12
br BRA,Danilo,"MF,FW",Nott'ham Forest,275,3.1,0,0,0.0,0.0,2,11,1,0,0,77.7,0,0,8,4,4,12,3,150,3,50.0,54,87,2
br BRA,Danilo,DF,Juventus,581,6.5,0,1,0.1,0.4,16,45,7,1,0,90.6,3,2,10,4,9,19,21,625,0,,381,476,11
nl NED,Arnaut Danjuma,FW,Villarreal,200,2.2,2,0,0.8,0.0,4,1,17,6,3,76.7,1,0,2,1,0,2,0,48,0,0.0,25,36,1
nl NED,Arnaut Danjuma,"FW,MF",Girona,1335,14.8,2,0,3.6,1.7,91,41,185,30,14,72.6,22,24,8,6,2,10,4,588,24,35.8,394,441,16
eng ENG,Jayden Danns,MF,Liverpool,11,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,2,0,,1,1,0
fr FRA,Kévin Danois,MF,Auxerre,1460,16.2,0,0,1.5,2.2,19,95,50,17,3,81.5,25,11,49,30,20,69,20,912,21,51.2,570,597,22
at AUT,Kevin Danso,DF,Tottenham,842,9.4,0,0,0.4,0.1,11,19,1,7,3,86.5,2,2,7,5,6,13,71,676,2,66.7,448,475,9
at AUT,Kevin Danso,DF,Lens,1080,12.0,0,0,0.5,1.0,9,52,1,10,2,85.6,6,4,19,7,20,39,62,946,1,16.7,489,551,27
br BRA,Dante,DF,Nice,1964,21.8,0,0,0.5,0.2,18,96,8,9,2,88.5,4,8,32,15,34,66,74,1651,6,40.0,949,1138,19
sn SEN,Pape Daouda Diongue,"MF,FW",Strasbourg,78,0.9,1,0,1.0,0.2,2,2,3,5,2,82.5,1,0,2,0,3,5,2,78,0,0.0,40,53,0
dk DEN,Mohamed Daramy,FW,Reims,16,0.2,0,0,0.0,0.1,3,0,2,1,0,100.0,1,0,0,0,0,0,1,8,0,,5,7,0
hu HUN,Bence Dárdai,MF,Wolfsburg,1304,14.5,1,1,1.0,1.0,5,39,24,11,1,80.2,11,9,24,14,12,36,28,595,3,25.0,287,337,9
es ESP,Sergi Darder,"MF,FW",Mallorca,2744,30.5,2,6,2.1,3.7,37,142,83,36,9,75.3,54,33,40,26,16,56,23,1558,34,45.9,911,1030,21
it ITA,Matteo Darmian,DF,Inter,1781,19.8,3,2,1.9,1.5,14,45,102,11,3,83.8,15,15,28,17,10,38,39,1144,4,44.4,593,787,26
de GER,Lukas Daschner,"MF,FW",Bochum,412,4.6,1,1,2.7,0.7,8,11,19,8,4,64.6,6,1,4,2,0,4,5,213,5,33.3,116,131,4
co COL,Juan David Cabal,DF,Juventus,460,5.1,0,0,0.1,0.0,14,17,19,5,0,87.7,1,3,10,4,2,12,14,401,4,57.1,242,285,7
ca CAN,Jonathan David,FW,Lille,2554,28.4,16,5,16.2,4.4,40,65,184,66,28,82.1,36,26,24,8,7,31,10,952,20,47.6,518,717,25
ca CAN,Alphonso Davies,DF,Bayern Munich,1560,17.3,1,2,1.2,1.6,81,120,140,17,3,89.7,27,16,30,17,13,43,22,1463,31,45.6,895,1057,8
wls WAL,Ben Davies,DF,Tottenham,1331,14.8,0,0,0.3,0.2,14,52,6,5,1,87.6,2,2,17,11,12,29,81,1186,1,100.0,664,781,17
eng ENG,Keinan Davis,FW,Udinese,1066,11.8,2,1,2.9,2.1,26,22,77,29,11,75.6,20,8,9,4,1,10,5,404,17,48.6,231,325,24
eng ENG,Leif Davis,DF,Ipswich Town,2743,30.5,1,2,1.0,4.9,52,59,137,16,2,71.6,61,28,46,27,25,71,77,1562,13,34.2,708,835,27
ge GEO,Zuriko Davitashvili,"FW,MF",Saint-Étienne,2778,30.9,9,8,8.1,4.7,95,73,224,68,24,78.6,50,23,22,14,14,36,14,1298,46,37.4,764,905,20
pl POL,Paweł Dawidowicz,"DF,MF",Hellas Verona,1845,20.5,0,0,0.3,0.0,10,39,3,4,0,81.9,0,1,45,24,20,65,70,982,2,50.0,457,547,36
eng ENG,Craig Dawson,DF,Wolves,971,10.8,0,0,0.5,0.0,6,20,5,5,1,86.6,2,1,15,3,9,24,52,671,1,20.0,390,443,6
be BEL,Kevin De Bruyne,"MF,FW",Manchester City,1702,18.9,4,7,5.1,8.0,51,157,150,57,15,75.9,57,59,17,9,7,24,10,1368,13,38.2,812,1021,17
jm JAM,Bobby De Cordova-Reid,FW,Leicester City,744,8.3,1,2,0.8,1.2,14,15,48,7,3,70.4,6,5,9,4,0,9,10,272,0,0.0,174,188,9
be BEL,Charles De Ketelaere,"MF,FW",Atalanta,2070,23.0,7,7,7.3,6.0,108,140,211,48,20,75.8,39,53,13,9,3,16,9,1238,43,45.3,832,1008,22
ar ARG,Rodrigo De Paul,MF,Atlético Madrid,2106,23.4,3,5,1.3,5.6,85,231,64,19,4,81.7,42,58,33,26,6,39,15,1950,14,40.0,1373,1544,19
mq MTQ,Théo De Percin,GK,Auxerre,180,2.0,0,0,0.0,0.0,0,0,0,0,0,53.4,0,0,0,0,0,0,3,68,0,,35,22,0
it ITA,Mattia De Sciglio,DF,Empoli,769,8.5,1,0,0.6,0.2,4,18,7,5,3,77.9,3,4,18,13,8,26,35,394,1,25.0,161,191,8
it ITA,Lorenzo De Silvestri,DF,Bologna,1060,11.8,1,0,0.8,0.3,4,46,30,9,4,79.1,5,6,11,6,10,21,32,657,1,20.0,313,380,17
be BEL,Thibault De Smet,DF,Reims,192,2.1,0,0,0.1,0.0,1,9,2,1,0,90.5,0,0,6,4,4,10,12,146,0,0.0,83,94,1
be BEL,Koni De Winter,DF,Genoa,2135,23.7,3,0,2.1,0.2,10,56,10,13,7,86.6,3,3,33,19,25,58,118,1551,6,35.3,807,938,43
ba BIH,Amar Dedić,DF,Marseille,314,3.5,0,1,0.9,0.9,21,16,46,6,2,84.4,4,2,5,4,3,8,12,282,9,47.4,180,194,7
it ITA,Alessandro Deiola,MF,Cagliari,1432,15.9,2,1,1.7,0.6,11,40,36,18,5,73.4,6,8,31,20,13,44,38,686,3,75.0,332,398,32
fr FRA,Romain Del Castillo,FW,Brest,1259,14.0,6,4,4.7,3.4,29,61,106,17,8,69.8,37,26,31,22,6,37,5,840,19,43.2,438,565,11
it ITA,Enrico Del Prato,DF,Parma,2947,32.7,4,0,2.0,1.2,8,81,31,12,5,84.0,14,9,33,17,19,52,132,1830,2,50.0,1006,1078,20
fr FRA,Thomas Delaine,DF,Strasbourg,9,0.1,0,0,0.0,0.0,0,0,1,0,0,0.0,0,0,1,1,1,2,1,8,0,,2,2,1
eng ENG,Liam Delap,FW,Ipswich Town,2593,28.8,12,2,9.3,1.9,61,30,110,66,29,61.3,21,6,11,8,2,13,28,682,40,46.5,445,537,72
ng NGA,Fisayo Dele-Bashiru,"MF,FW",Lazio,947,10.5,3,1,1.1,0.8,23,26,57,16,5,87.7,10,4,10,6,4,14,5,436,14,63.6,257,335,8
dz ALG,Andy Delort,FW,Montpellier,607,6.7,0,0,1.3,0.9,4,6,20,17,6,49.1,7,2,4,3,0,4,3,171,3,60.0,90,130,11
be BEL,Olivier Deman,DF,Werder Bremen,67,0.7,0,0,0.0,0.1,2,4,1,0,0,65.5,1,1,6,3,3,9,4,75,0,0.0,31,31,1
fr FRA,Ali Dembélé,DF,Torino,388,4.3,1,0,0.4,0.1,8,12,8,5,2,75.6,3,1,9,5,1,10,11,222,2,33.3,101,115,9
fr FRA,Ousmane Dembélé,FW,Paris S-G,1730,19.2,21,6,16.6,8.2,127,137,252,96,49,79.0,63,55,11,5,9,20,2,1323,42,44.2,878,1127,8
ba BIH,Ermedin Demirović,FW,Stuttgart,1855,20.6,15,1,14.1,1.9,20,31,115,64,27,70.3,18,10,12,7,3,15,12,582,5,20.0,305,437,24
nl NED,Sepp van den Berg,DF,Brentford,2586,28.7,0,0,2.0,0.8,12,79,28,20,6,85.4,6,3,39,24,21,60,134,1605,4,57.1,737,917,23
fr FRA,Rémy Descamps,GK,Lyon,90,1.0,0,0,0.0,0.0,0,0,0,0,0,90.0,0,0,0,0,0,0,0,34,0,,25,21,0
fr FRA,Arthur Desmas,GK,Le Havre,1620,18.0,0,0,0.0,0.0,0,0,0,0,0,78.7,1,0,0,0,0,0,9,561,0,,296,254,1
nir NIR,Justin Devenny,MF,Crystal Palace,507,5.6,1,1,0.8,0.6,5,21,13,10,6,72.2,7,4,17,12,0,17,11,279,2,50.0,134,167,8
eng ENG,Kiernan Dewsbury-Hall,"MF,FW",Chelsea,264,2.9,0,1,0.2,1.1,5,14,11,1,0,83.6,3,3,8,5,2,10,9,184,2,50.0,95,138,4
it ITA,Michele Di Gregorio,GK,Juventus,2970,33.0,0,0,0.0,0.5,0,0,0,0,0,76.6,1,0,0,0,1,1,14,1046,0,,672,587,0
it ITA,Giovanni Di Lorenzo,DF,Napoli,3330,37.0,3,2,2.8,3.9,50,224,163,21,6,83.6,37,54,66,44,31,97,85,2541,4,12.9,1202,1701,46
sn SEN,Boulaye Dia,"MF,FW",Lazio,2177,24.2,9,3,7.1,4.2,23,51,114,39,19,83.6,26,7,22,10,6,28,16,802,17,40.5,452,618,23
gn GUI,Mouctar Diakhaby,DF,Valencia,653,7.3,2,0,1.5,0.0,5,14,2,11,4,83.9,1,2,8,3,11,19,56,440,2,50.0,222,270,2
fr FRA,Mamadou Diakhon,"FW,MF",Reims,858,9.5,2,1,1.0,1.1,61,17,77,18,8,77.0,13,6,12,8,4,16,5,379,25,41.0,288,299,5
fr FRA,Bafodé Diakité,DF,Lille,2766,30.7,4,1,2.3,0.2,15,90,3,16,7,93.2,3,0,31,18,27,58,99,2475,9,100.0,1606,1891,44
ci CIV,Oumar Diakité,FW,Reims,1628,18.1,4,1,5.5,1.1,24,44,93,26,9,82.2,11,12,20,13,3,23,9,580,20,35.1,319,397,27
ci CIV,Amad Diallo,"MF,FW",Manchester Utd,1901,21.1,8,6,4.7,4.9,109,60,200,47,17,83.8,49,35,38,31,11,49,19,1207,41,46.6,782,854,21
sn SEN,Assane Diao,"FW,MF",Como,1252,13.9,8,1,4.0,0.4,50,36,116,28,13,79.3,8,13,25,14,3,28,19,523,19,26.4,376,396,20
sn SEN,Assane Diao,FW,Betis,277,3.1,1,2,0.8,1.5,9,1,27,7,1,74.2,8,1,5,3,0,5,3,122,2,18.2,63,81,4
sn SEN,Habib Diarra,"MF,FW",Strasbourg,2352,26.1,4,5,3.3,4.5,61,116,114,25,10,83.0,27,27,22,13,13,35,46,1214,13,26.5,709,885,26
ml MLI,Moussa Diarra,DF,Alavés,1866,20.7,0,0,0.0,0.1,12,70,31,1,0,80.2,3,8,40,24,21,61,46,1012,7,50.0,499,584,28
pt POR,Rúben Dias,DF,Manchester City,2271,25.2,0,0,1.5,0.3,43,160,8,21,7,93.5,5,12,17,11,20,37,71,2499,2,66.7,1775,2016,12
sn SEN,Krépin Diatta,"DF,FW",Monaco,508,5.6,0,0,0.2,0.8,17,21,41,2,1,76.4,4,6,18,12,9,27,12,373,8,61.5,205,230,14
gn GUI,Kandet Diawara,FW,Le Havre,4,0.0,0,0,0.0,0.0,0,0,0,0,0,50.0,0,0,0,0,0,0,1,4,0,,2,2,0
fr FRA,Mahamadou Diawara,MF,Le Havre,582,6.5,0,1,0.4,0.4,9,16,6,7,1,82.8,7,1,20,12,13,33,11,321,6,46.2,180,183,15
fr FRA,Mahamadou Diawara,MF,Lyon,16,0.2,0,0,0.0,0.0,1,1,0,0,0,85.7,0,0,1,0,0,1,0,9,0,,2,3,1
ma MAR,Brahim Díaz,"FW,MF",Real Madrid,1385,15.4,4,2,5.3,3.3,39,74,110,28,15,86.8,23,19,25,19,4,29,2,833,24,51.1,541,669,14
es ESP,Daniel Díaz,MF,Real Sociedad,10,0.1,0,0,0.0,0.0,0,0,0,0,0,33.3,0,0,1,1,0,1,0,6,0,0.0,1,4,1
co COL,Luis Díaz,FW,Liverpool,2399,26.7,13,5,12.0,5.0,108,110,293,71,30,84.2,56,46,39,26,7,46,7,1184,53,45.7,780,933,48
es ESP,Pedro Díaz,MF,Rayo Vallecano,1211,13.5,3,0,2.4,2.1,27,62,49,31,7,78.8,26,17,23,15,7,30,7,707,20,58.8,390,459,7
eng ENG,Tyler Dibling,"FW,MF",Southampton,1874,20.8,2,0,2.5,1.5,69,64,96,28,9,81.3,20,20,34,20,8,42,16,868,45,40.9,558,651,30
es ESP,Diego,FW,Leganés,1195,13.3,3,0,3.8,0.2,9,16,49,29,9,63.0,6,3,1,1,2,3,11,322,4,40.0,192,246,22
de GER,Justin Diehl,"FW,DF",Stuttgart,104,1.2,1,0,1.0,0.1,5,5,20,7,1,71.2,1,1,1,0,0,1,0,84,3,23.1,55,60,2
sn SEN,Bamba Dieng,FW,Angers,532,5.9,3,0,3.1,0.0,6,7,35,13,6,77.7,1,3,4,1,0,4,3,157,2,14.3,96,135,9
eng ENG,Eric Dier,DF,Bayern Munich,1463,16.3,2,1,1.1,0.1,12,73,1,9,5,93.8,3,5,19,11,20,39,77,1591,2,66.7,944,1157,16
fr FRA,Lucas Digne,DF,Aston Villa,2351,26.1,0,4,0.8,4.7,23,57,142,13,3,74.9,36,30,65,38,25,90,89,1527,9,47.4,683,820,21
fr FRA,Kembo Diliwidi,DF,Lens,4,0.0,0,0,0.0,0.0,0,1,0,0,0,66.7,0,1,0,0,0,0,0,4,0,0.0,1,1,1
it ITA,Federico Dimarco,"DF,FW",Inter,2140,23.8,4,7,3.3,6.1,47,83,232,55,20,76.3,48,40,25,14,14,39,33,1475,4,40.0,789,1007,18
mk MKD,Stole Dimitrievski,GK,Valencia,360,4.0,0,0,0.0,0.0,0,0,0,0,0,51.1,0,0,0,0,0,0,3,143,0,,68,52,0
fr FRA,Junior Dina Ebimbe,"MF,FW",Eint Frankfurt,293,3.3,0,1,0.9,0.9,5,3,27,8,0,63.4,3,2,3,2,7,10,6,161,5,45.5,82,105,10
de GER,Eren Dinkçi,"MF,FW",Freiburg,1196,13.3,0,3,1.1,2.2,33,35,71,14,3,75.4,23,11,21,13,7,28,7,552,16,41.0,269,347,9
ci CIV,Sinaly Diomande,DF,Auxerre,1945,21.6,3,2,1.1,0.6,8,72,8,9,4,84.6,4,1,39,19,30,69,100,1223,8,57.1,698,756,24
ci CIV,Yan Diomandé,"MF,FW",Leganés,545,6.1,2,1,1.4,0.9,37,16,64,11,3,83.0,14,7,14,9,8,22,6,309,23,60.5,200,204,8
fr FRA,Lois Diony,FW,Angers,21,0.2,0,0,0.0,0.0,0,0,2,0,0,25.0,0,0,0,0,0,0,0,6,0,,4,6,0
fr FRA,Issa Diop,DF,Fulham,1339,14.9,0,0,0.5,0.1,6,25,3,5,2,87.5,3,1,26,12,9,35,72,903,1,50.0,533,617,10
sn SEN,Sérigné Diop,FW,Brest,4,0.0,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,1,0,0,1,0,6,0,,1,3,0
fr FRA,Sofiane Diop,"MF,FW",Nice,1064,11.8,6,4,6.0,2.9,26,64,70,22,11,77.2,24,19,23,16,17,40,7,714,10,32.3,399,508,17
fr FRA,Andy Diouf,MF,Lens,2225,24.7,1,2,2.9,2.8,82,116,94,40,5,79.5,33,31,37,26,15,52,18,1367,43,49.4,751,966,43
sn SEN,Yehvann Diouf,GK,Reims,3060,34.0,0,0,0.1,0.0,0,1,0,1,1,69.6,0,0,2,1,1,3,22,1324,2,100.0,684,575,0
sn SEN,Assane Dioussé,MF,Auxerre,663,7.4,0,0,0.1,0.2,1,33,6,3,2,89.6,2,0,15,7,12,27,15,431,2,33.3,276,281,18
fr FRA,Axel Disasi,DF,Aston Villa,490,5.4,0,0,0.1,0.4,10,16,5,2,0,86.8,3,3,8,5,5,13,18,334,9,60.0,207,223,3
fr FRA,Axel Disasi,DF,Chelsea,364,4.0,1,0,0.3,0.1,6,16,2,2,1,90.8,2,2,7,4,2,9,11,323,1,100.0,196,242,2
eng ENG,Roman Dixon,DF,Everton,90,1.0,0,0,0.0,0.0,0,0,1,0,0,57.9,0,0,5,5,1,6,3,36,0,0.0,16,13,0
es ESP,Álvaro djaló,FW,Athletic Club,659,7.3,1,0,0.8,0.9,22,13,60,15,3,66.4,4,6,8,5,1,9,4,230,14,38.9,151,177,19
tg TOG,Djené,"DF,MF",Getafe,2548,28.3,0,0,0.3,0.6,18,74,21,6,0,75.6,9,13,25,13,21,46,107,1164,7,41.2,514,527,40
bf BFA,Nasser Djiga,DF,Wolves,66,0.7,0,0,0.0,0.0,0,3,2,0,0,83.3,0,0,0,0,2,2,4,58,0,,32,35,0
al ALB,Berat Djimsiti,DF,Atalanta,2640,29.3,1,2,2.7,1.3,32,109,42,20,4,87.7,11,12,53,33,40,93,141,2023,1,25.0,1097,1323,23
rs SRB,Marko Dmitrović,GK,Leganés,2880,32.0,0,0,0.0,0.2,0,1,0,0,0,44.7,1,0,1,1,0,1,27,1145,1,100.0,542,338,1
jp JPN,Ritsu Doan,"FW,MF",Freiburg,2862,31.8,10,7,6.6,3.7,64,130,178,61,21,71.8,27,48,66,42,14,80,47,1537,56,44.1,827,1031,27
br BRA,Dodô,DF,Fiorentina,3025,33.6,0,4,1.4,4.2,143,128,193,25,5,77.6,36,40,44,29,34,78,58,2083,52,46.0,1278,1311,24
nl NED,Danilho Doekhi,DF,Union Berlin,3060,34.0,1,1,2.6,1.4,13,96,14,32,4,78.3,13,6,37,24,44,81,169,1654,3,60.0,883,1000,36
ie IRL,Matt Doherty,DF,Wolves,2109,23.4,2,1,1.0,1.5,29,79,41,10,3,82.8,12,15,38,21,22,60,102,1534,11,52.4,825,982,18
be BEL,Jeremy Doku,"FW,MF",Manchester City,1516,16.8,3,6,1.3,4.8,213,69,286,29,9,79.1,32,48,31,22,4,35,2,1027,107,53.2,796,854,10
es ESP,Marc Domenech,"FW,MF",Mallorca,303,3.4,0,0,0.7,0.2,1,4,21,8,2,69.4,5,4,4,4,0,4,2,84,1,50.0,42,51,5
es ESP,Álex Domínguez,GK,Toulouse,19,0.2,0,0,0.0,0.0,0,0,0,0,0,72.7,0,0,0,0,0,0,0,11,0,,3,5,0
ar ARG,Benjamín Domínguez,FW,Bologna,1281,14.2,3,2,2.2,0.8,50,32,123,30,17,78.2,10,13,18,7,4,22,7,555,28,37.8,396,420,10
es ESP,Carlos Dominguez,DF,Celta Vigo,1181,13.1,0,0,0.2,0.1,15,66,4,3,1,88.5,2,0,23,11,13,36,80,1116,2,66.7,683,802,8
es ESP,Israel Domínguez,FW,Sevilla,18,0.2,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,2,0,,1,2,0
ar ARG,Nicolás Domínguez,"MF,FW",Nott'ham Forest,1963,21.8,0,1,1.5,1.3,16,83,33,21,9,86.7,13,11,86,45,29,115,54,1218,3,33.3,471,676,33
es ESP,Sergi Dominguez,DF,Barcelona,172,1.9,0,0,0.0,0.0,0,13,1,0,0,95.0,0,0,1,1,3,4,7,191,0,,127,157,2
it ITA,Gianluigi Donnarumma,GK,Paris S-G,2091,23.2,0,0,0.0,0.0,0,0,0,0,0,87.3,0,0,1,1,0,1,14,677,0,,349,366,0
dk DEN,Patrick Dorgu,DF,Manchester Utd,842,9.4,0,0,0.4,0.7,41,34,83,10,2,81.0,12,11,31,24,4,35,23,602,3,23.1,354,399,17
dk DEN,Patrick Dorgu,"DF,FW",Lecce,1840,20.4,3,1,3.3,1.5,68,54,117,36,10,77.5,19,21,45,27,18,63,42,1011,13,29.5,557,658,24
